address;flats;entrances;floors
улица Шишкова, 107-а;112;1;16
улица Шишкова, 72/2;425;3;17
улица Шишкова, 105;157;4;10
улица Шишкова, 142/8;309;5;10
улица Шишкова, 61;215;6;9
улица Шишкова, 97;239;6;10
улица Шишкова, 4-а;138;1;9
улица Шишкова, 142/5;579;10;10
улица Шишкова, 1;117;3;9
улица Шишкова, 6;161;4;9
улица Шишкова, 70;362;3;17
улица Шишкова, 146-б;620;10;10
улица Шишкова, 101;199;5;10
улица Шишкова, 144;408;5;43
улица Шишкова, 146-в;580;10;10
улица Шишкова, 73;160;4;10
улица Шишкова, 105-а;111;1;16
улица Шишкова, 103-а;112;1;16
улица Шишкова, 65;128;5;9
улица Шишкова, 8;107;2;9
улица Шишкова, 75;198;5;10
улица Шишкова, 63;104;2;9
улица Хользунова, 60-б;312;5;17
улица Хользунова, 66;276;1;9
улица Хользунова, 82;142;4;9
улица Хользунова, 112;139;4;9
улица Хользунова, 125;162;5;9
улица Хользунова, 68;266;1;9
улица Хользунова, 29;70;4;5
улица Хользунова, 98;214;6;9
улица Хользунова, 46;270;1;9
улица Хользунова, 9/4;147;1;22
улица Хользунова, 54;141;4;9
улица Хользунова, 74;210;1;9
улица Хользунова, 60;304;9;9
улица Хользунова, 94;142;4;9
улица Хользунова, 99-б;476;2;18
улица Хользунова, 88;387;12;9
улица Хользунова, 72;225;1;9
улица Хользунова, 7;90;6;5
улица Хользунова, 64;273;1;9
улица Хользунова, 58;142;4;9
улица Хользунова, 118;115;3;9
улица Хользунова, 10;120;3;10
улица Хользунова, 3;232;7;9
улица Хользунова, 13;131;4;9
улица Хользунова, 40-д;346;9;10
улица Хользунова, 70-а;50;1;10
улица Хользунова, 115;180;1;12
улица Хользунова, 21;90;6;5
улица Хользунова, 80;374;11;9
улица Хользунова, 102;142;4;9
улица Хользунова, 38/3;159;4;13
улица Хользунова, 17;215;6;9
улица Хользунова, 121;116;3;9
улица Хользунова, 92;141;4;9
улица Хользунова, 111;104;3;9
